,Company Name,Product Name,Quantity,Price
152,Amul,Bread Spread - Lite,200 gm,52.00
153,Amul,Cheese Spread - Oregano Pickle,200 gm,80.00
154,Fresho Signature,"Cheese - Swiss Gruyere, Block",200 gm,685.50
155,LHF,Almond Fresh Drinks - Vanilla,1 ltr,275.00
156,Lactima,Cheese Slice - Gouda,130 gm,180.00
157,Amul,Processed Slice,400 gm,223.00
158,Milky Mist,Fruit Yoghurt - Peach,100 gm,25.00
159,American Bagel Factory,Butter - Garlic,200 gm,310.00
160,Amulya,Dairy Whitener,500 gm,175.00
161,Nestle a+ Grekyo,Greek Yoghurt - Strawberry,100 gm,35.00
162,Dairy Craft,Cheese Slices - Plain,200 gm,155.00
163,Amul,Kool - Elaichi,200 ml,20.00
164,Fresho Signature,"Cheese - Edam Ball, Diced",100 gm,171.00
165,Kodai Dairy Farms,Cheese - Gouda,200 gm,220.00
166,Fresho Signature,"Cheese - Chevere Log (Fresh Rindless), Diced",100 gm,267.00
167,Lavache quirit,Laughing Cow Cheese,120 gm,270.00
168,ARLA,Fresh Cheese - Natural Light,150 gm,395.00
169,Cavins,Milkshake- Vanilla,180 ml,25.00
170,Fresho Signature,"Cheese - Parmesan Parmigiano Reggiano Stravecchio D.O.P, Block",200 gm,672.00
171,Kodai Dairy Farms,Cheese Gouda - Smoked,200 gm,240.00
172,Kraft,Parmesan Cheese Grated,226 gm,1035.00
173,Amul,Processed Cheese,400 gm,196.00
174,Fresho Signature,"Cheese - Parmesan Pecorino Romano D.O.P, Block",200 gm,514.50
175,Milky Mist,Cheese - Slice,765 gm,355.00
176,mother dairy,Cheese - Slices,200 gm,130.00
177,Amul,Cheese Spread - Punchy Pepper,200 gm,80.00
178,Dairy Craft,Feta Cheese,400 gm,445.00
179,Dodoni,Goat's Cheese - Katsiki,200 gm,595.00
180,Cavins,Milkshake- Chocolate,180 ml,25.00
181,Quaker,Oats + Milk Almond Flavour,4x180 ml,110.40
182,Nestle A+,Grekyo Yogurt - Blueberry,100 gm,35.00
183,Staeta,Fortified Soy Milk - Chocolate,200 ml,30.00
184,Hersheys ,Milk Shake - Strawberry,3x200 ml,89.25
185,President,Premium Butter - UnSalted,500 gm,230.00
186,Cavins,Curd - Premium,1 kg,110.00
187,La Cremella,Bocconcini,200 gm,240.00
188,RRO Dairy,Cheese - Mozzarella,200 gm,276.25
189,Kraft,Cheese - Processed Cheddar (Cup),200 gm,346.50
190,Britannia,Cheezza,400 gm,260.00
191,ARLA,"Cheese - Havarti, Slice",150 gm,395.00
192,Britannia,Cheese Cubes - Classic,200 gm,115.00
193,Cavins,Milkshake - Chocolate,1 ltr,104.00
194,Goodness,"Smoothie - Yogurt, Ginger Mint",190 ml,49.00
195,Cavins,Paneer - Soft,1 kg,350.00
196,Goodness,"Smoothie - Oats, Chocolate",190 ml,49.00
197,Nutralite,Table Spread - Cholesterol Free,200 gm,78.00
198,Kodai Dairy Farms,Mozzarella - Slab,200 gm,215.00
199,mother dairy,Butter,100 gm,46.00
200,Hersheys ,Milk Shake - Cookies & Creme,3x200 ml,89.25
201,Soyfresh,Soya Milk - Cappuccino,1 ltr,195.00
202,Amul,Kool - Rose,200 ml,20.00
203,Go ,Cream - Fresh,200 ml,50.00
204,Amul,Malt Beverage - Pro,500 gm,170.00
205,Amul,Shrikhand - Elaichi,500 gm,95.00
206,Cavins,Milkshake- Strawberry,180 ml,25.00
207,American Bagel Factory,Butter - Chilli  & Garlic,200 gm,310.00
208,Fresho Signature,"Cheese - Gouda Wild Garlic, Diced",100 gm,235.50
209,Fresho Signature,"Cheese - Gouda Herbs, Diced",100 gm,235.50
210,Dairy Craft,Cheese Slices - Herbs N Spices,200 gm,195.00
211,LURPAK,Butter Spreadable - Light Olive Oil,250 gm,425.00
212,Fresho Signature,"Cheese - Cheddar With Chillies, Cubes",200 gm,474.00
213,La Cremella,Bocconcini,100 gm,135.00
214,Amul,Shrikhand - Badam Pista,500 gm,110.00
215,Fresho Signature,"Cheese - Monterey Jack, Block",200 gm,421.50
216,Dairy Craft,Cheese Slices - Garlic,200 gm,195.00
217,Amul,Kool Cafe,200 ml,22.00
218,Zanetti,Cheese - Gran Spicco parmesan,200 gm,645.00
219,Britannia,Dairy Whitener,400 gm,150.00
220,Amul,Cheese - Gouda,250 gm,215.00
221,Fresho Signature,"Cheese - Swiss Gruyere, Diced",100 gm,342.75
222,Vijay Dairy Farm,Butter - White,200 gm,98.00
223,Dairy Craft,Smoked Cheddar - English,200 gm,310.00
224,John's,Mozzarella - Pizza,200 gm,185.00
225,Collier's,Mild Cheddar - White,200 gm,415.00
226,Fresho Signature,"Cheese - Cheddar With Chillies, Block",100 gm,237.00
227,Dairy Craft,Cheese Slices - Black Pepper,200 gm,195.00
228,Fresho Signature,"Cheese - Parmesan Grana Padano D.O.P, Block",200 gm,478.50
229,Dairy Craft,Feta Cheese - In Brine,400 gm,460.00
230,mother dairy,Fruit Yoghurt - Mango,100 gm,20.00
231,Milky Mist,Cheese Cubes,10 nos,100.80
232,mother dairy,Dairy Whitener - Dailycious,500 gm,190.00
233,Dodoni,Feta - Cheese,200 gm,635.00
234,Staeta,Fortified Soy Milk - Kesar Pista,200 ml,30.00
